A,B,Step,InitCondNum
0,1,10,89
0,1,11,89
0,0,1,90
0,0,2,90
0,0,3,90
0,0,4,90
0,0,5,90
0,0,6,90
0,0,7,90
0,0,8,90
0,0,9,90
0,0,10,90
0,0,11,90
0,0,1,91
0,0,2,91
0,0,3,91
0,0,4,91
0,0,5,91
0,0,6,91
0,0,7,91
0,0,8,91
0,0,9,91
0,0,10,91
0,0,11,91
0,0,1,92
0,0,2,92
0,0,3,92
0,0,4,92
0,0,5,92
0,0,6,92
0,0,7,92
0,0,8,92
0,0,9,92
0,0,10,92
0,0,11,92
1,1,1,93
0,1,2,93
0,1,3,93
0,1,4,93
0,1,5,93
0,1,6,93
0,1,7,93
0,1,8,93
0,1,9,93
0,1,10,93
0,1,11,93
1,1,1,94
1,0,2,94
1,0,3,94
1,0,4,94
1,0,5,94
1,0,6,94
1,0,7,94
1,0,8,94
1,0,9,94
1,0,10,94
1,0,11,94
1,0,1,95
1,0,2,95
1,0,3,95
1,0,4,95
1,0,5,95
1,0,6,95
1,0,7,95
1,0,8,95
1,0,9,95
1,0,10,95
1,0,11,95
0,1,1,96
0,1,2,96
0,1,3,96
0,1,4,96
0,1,5,96
0,1,6,96
0,1,7,96
0,1,8,96
0,1,9,96
0,1,10,96
0,1,11,96
0,1,1,97
0,1,2,97
0,1,3,97
0,1,4,97
0,1,5,97
0,1,6,97
0,1,7,97
0,1,8,97
0,1,9,97
0,1,10,97
0,1,11,97
1,1,1,98
1,0,2,98
1,0,3,98
1,0,4,98
1,0,5,98
1,0,6,98
1,0,7,98
1,0,8,98
1,0,9,98
1,0,10,98
1,0,11,98
0,0,1,99
0,0,2,99
0,0,3,99
0,0,4,99
0,0,5,99
0,0,6,99
0,0,7,99
0,0,8,99
0,0,9,99
0,0,10,99
0,0,11,99
0,0,1,100
0,0,2,100
0,0,3,100
0,0,4,100
0,0,5,100
0,0,6,100
0,0,7,100
0,0,8,100
0,0,9,100
0,0,10,100
0,0,11,100
